node,x_pos,T_hot,T_cold,x_cold,x_hot,regime_cold,regime_hot,P_cold,P_hot,H_cold,H_hot,U,h_hot,h_cold,q_cell,q_flux
106,4.24,590.3103311964207,590.3068596755778,1.0,0.0,superheated,subcooled,5996454.613339004,14922464.070829036,2944545.9018722335,1436809.1241981732,626.7908948512718,31053.714318027553,660.8397597722242,0.05742740460849112,2.2861227949240095
107,4.28,590.3101134986889,590.3068004881216,1.0,0.0,superheated,subcooled,5996417.91722844,14921733.852107741,2944546.9950505947,1436809.0877588945,626.7893644499547,31053.783104062273,660.8380274341799,0.05465891805160572,2.175912342818699
108,4.32,590.3098960702778,590.306725961077,1.0,0.0,superheated,subcooled,5996381.220851411,14921003.632376326,2944548.0383117343,1436809.052983523,626.7878639120261,31053.851914878207,660.8363282818256,0.0521630569937332,2.0765548166295065
109,4.36,590.3096788840983,590.3066376046418,1.0,0.0,superheated,subcooled,5996344.524210144,14920273.41163426,2944549.036571141,1436809.0197082097,626.7863902959186,31053.920748325116,660.8346590462688,0.049912970327038654,1.986981302827972
110,4.4,590.3094619157306,590.3065367802824,1.0,0.0,superheated,subcooled,5996307.827306645,14919543.189881068,2944549.994260171,1436808.987785242,626.7849409498298,31053.98960246445,660.8330167806274,0.047884451493775085,1.90622816456111
111,4.44,590.3092451431594,590.3064247153781,1.0,0.0,superheated,subcooled,5996271.130142723,14918812.967116315,2944550.915373732,1436808.9570814567,626.7835134831756,31054.05847554849,660.8313988283064,0.04605567804189466,1.8334266736423033
112,4.48,590.3090285465379,590.3063025164278,1.0,0.0,superheated,subcooled,5996234.432720009,14918082.743339607,2944551.8035132685,1436808.9274768054,626.7821057408601,31054.127366001543,660.8298027944033,0.044406976836468486,1.7677936638721532
113,4.5200000000000005,590.3088121079758,590.3061711809568,1.0,0.0,superheated,subcooled,5996197.735039972,14917352.518550592,2944552.6619255156,1436808.898863064,626.7807157800745,31054.196272403566,660.8282265199263,0.042920612363995074,1.7086231036622244
114,4.5600000000000005,590.3085958113417,590.3060316082465,1.0,0.0,superheated,subcooled,5996161.037103935,14916622.292748943,2944553.4935374334,1436808.8711426666,626.7793418493837,31054.265193473562,660.8266680585526,0.041580595890912016,1.6552784988420388
115,4.6000000000000005,590.308379642097,590.3058846090094,1.0,0.0,superheated,subcooled,5996124.338913093,14915892.06593437,2944554.300987701,1436808.8442276577,626.7779823698756,31054.334128057468,660.8251256556803,0.04037251338460764,1.6071860423808775
116,4.64,590.3081635871306,590.3057309141153,1.0,0.0,superheated,subcooled,5996087.640468521,14915161.838106604,2944555.086655112,1436808.818038744,626.7766359181687,31054.403075114096,660.8235977295452,0.039283370542149865,1.563828445149278
117,4.68,590.3079476346256,590.3055711824503,1.0,0.0,superheated,subcooled,5996050.941771188,14914431.609265406,2944555.852684167,1436808.7925044422,626.7753012110841,31054.47203370544,660.822082854187,0.03830145277090057,1.5247393618989082
118,4.72,590.3077317739303,590.3054060080101,1.0,0.0,superheated,subcooled,5996014.242821966,14913701.379410556,2944556.601008154,1436808.7675603093,626.7739770918431,31054.541002985603,660.8205797441109,0.03741619933820376,1.4894983812979203
